"user","weekday","daytime","stress","valence","arousal","n_traj","speed","accuracy","clicks","wheels"
"04lu0xqp0dbw0fkntpum","Tuesday","afternoon",0,5,4,121,0.322423391632038,0.655940312185852,0.00458216657795469,0.00344819606118812
"04lu0xqp0dbw0fkntpum","Wednesday","afternoon",0,4,3,12,0.228876343348465,0.549658683270311,0.0277900308778121,0
"1qqgqn6zzmfy4baropsp","Weekend","afternoon",0,4,4,71,0.426842864011324,0.635151978441985,0.00975824175824176,0
"grueptlxijwpfcbf0gfn","Wednesday","afternoon",0,7,3,287,0.221756409923822,0.639346785400529,0.00456152187623755,0.00415083823464703
"grueptlxijwpfcbf0gfn","Thursday","morning",0,7,1,16,0.246299390554046,0.626403546967151,0.00264472524243315,0.00837496326770497
"grueptlxijwpfcbf0gfn","Thursday","afternoon",0,7,1,84,0.277301480740352,0.658873892569259,0.00649046503847441,0.0144529943124791
"grueptlxijwpfcbf0gfn","Friday","morning",0,7,1,55,0.287522941367162,0.689953914474235,0.00389321468298109,0.0018274273001748
"grueptlxijwpfcbf0gfn","Friday","afternoon",0,7,1,26,0.380994896012857,0.698493327315566,0.00418714727835427,0.0138357910067358
"grueptlxijwpfcbf0gfn","Monday","morning",0,7,3,225,0.221129722518206,0.644013514156855,0.00384744686414404,0.00481864704344253
"grueptlxijwpfcbf0gfn","Monday","afternoon",0,7,2,107,0.243357682140353,0.675081043418245,0.00476598989610142,0.0180154418072634
"grueptlxijwpfcbf0gfn","Tuesday","morning",0,7,2,9,0.439569900686954,0.717518180543331,0.00610583446404342,0.00881953867028494
"grueptlxijwpfcbf0gfn","Tuesday","afternoon",0,7,3,87,0.261900916358781,0.686342981205491,0.0047200981780421,0.0306334371754933
"grueptlxijwpfcbf0gfn","Wednesday","morning",0,7,2,52,0.282270572552037,0.68448547136911,0.00513282305267897,0.0161188653759568
"grueptlxijwpfcbf0gfn","Wednesday","afternoon",0,6,1,165,0.210703176044121,0.674683592722752,0.00445714839397316,0.00685528801899133
"grueptlxijwpfcbf0gfn","Thursday","morning",0,7,1,3,0.831786039270715,0.784512723303133,0.00837520938023451,0
"grueptlxijwpfcbf0gfn","Thursday","afternoon",0,7,2,3,0.187109072379734,0.561111111111111,0.00972972972972973,0
"grueptlxijwpfcbf0gfn","Friday","morning",0,7,3,63,0.245074305643467,0.693105503040449,0.00461560651954421,0.011827491706332
